Position X,Position Y,Position Z,Unit,Category,Collection,TimePointID,TrackID,ID
142.69153233202866,371.33883989726564,67.16166981437077,um,Spot,Position,52,6,xxx
141.32531391319895,370.03943186064953,65.75139534227397,um,Spot,Position,53,6,xxx
138.03492416853263,364.68931892619077,68.2855465304064,um,Spot,Position,54,6,xxx
135.9311429302227,361.5607535207427,70.1394336678436,um,Spot,Position,55,6,xxx
134.6893274177498,360.1282869354948,70.97729272351216,um,Spot,Position,56,6,xxx
133.4475119052769,358.69582035024695,71.81515177918072,um,Spot,Position,57,6,xxx
132.3953771296148,357.2399970138527,72.61548930046163,um,Spot,Position,58,6,xxx
132.10196530119575,355.690746672873,73.26574068419194,um,Spot,Position,59,6,xxx
131.35190830439217,355.4605234535774,71.66375456760748,um,Spot,Position,60,6,xxx
130.55890229475116,354.45830046294475,70.27610507975129,um,Spot,Position,61,6,xxx
129.87827808850474,352.87667358310955,69.65974465945766,um,Spot,Position,62,6,xxx
305.6566469833927,158.6531715716156,72.10043816310414,um,Spot,Position,1,7,xxx
304.8548819813499,159.10659395564548,72.74902901338075,um,Spot,Position,2,7,xxx
306.292475363019,163.80744608460745,90.4936668000603,um,Spot,Position,3,7,xxx
308.4109289340117,161.89253594213818,94.79227691573365,um,Spot,Position,4,7,xxx
309.04789472079744,161.26961032989558,93.62538699337658,um,Spot,Position,5,7,xxx
304.92558869536185,164.5917543851542,94.10482730109148,um,Spot,Position,6,7,xxx
302.180387655648,163.19329011033366,95.73973836241763,um,Spot,Position,7,7,xxx
301.0403076106546,158.09406293958395,98.06505654153213,um,Spot,Position,8,7,xxx
301.71262577176367,175.87437333173702,90.52714021970203,um,Spot,Position,9,7,xxx
303.47718241770997,186.45970257628434,86.66746534729381,um,Spot,Position,10,7,xxx
306.88009679091215,186.25256009942305,88.3251526490184,um,Spot,Position,11,7,xxx
307.33338037329054,186.3987412065224,88.46634657769113,um,Spot,Position,12,7,xxx
305.7479188765955,186.1184606272104,90.71077301394772,um,Spot,Position,13,7,xxx
304.1328979771553,183.92202168670704,89.41591960024033,um,Spot,Position,14,7,xxx
300.97167211636486,183.13614035536813,86.64719628091204,um,Spot,Position,15,7,xxx
300.46983216740364,186.5700928140152,90.41525626781406,um,Spot,Position,16,7,xxx
298.6650179680196,189.94029614880807,92.90105628630366,um,Spot,Position,17,7,xxx
282.34270415179395,182.90962007141727,79.94790458810171,um,Spot,Position,18,7,xxx
279.21096464264707,180.59622167322172,82.08688176818738,um,Spot,Position,19,7,xxx
276.0792251335002,178.28282327502617,84.22585894827306,um,Spot,Position,20,7,xxx
275.5096681814814,177.039654679232,82.77457872743848,um,Spot,Position,21,7,xxx
276.9208428592928,174.92478110962674,83.15357419763936,um,Spot,Position,22,7,xxx
277.3156594515233,177.26073948413907,81.28303798040537,um,Spot,Position,23,7,xxx
